Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],City [city],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
Eloi Nkaane,Eloi.Nkaane@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Eloi,Nkaane,Finance Coordinator,Finance,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Esther Nkaane,Esther.Nkaane@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Esther,Nkaane,Credit Administrator,Finance,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Arnold Kometa,Arnold.Kometa@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Arnold,Kometa,Sales Staff,Sales,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Justice Nkaane,Justice.Nkaane@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Justice,Nkaane,Sales Staff,Sales,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Herold Nani,Herold.Nani@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Herold,Nani,Sales Staff,Sales,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Derick Kometa,Derick.Kometa@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Derick,Kometa,Sales Staff,Sales,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Grace Kometa,Grace.Kometa@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Grace,Kometa,HR,HR,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Misper Kometa,Misper.Kometa@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Misper,Kometa,HR,HR,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
John Bull,John.Bull@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,John,Bull,Contractor,Contractors,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
Nick Russ,Nick.Russ@Durubenuioutlook.onmicrosoft.com,REPLACE-WITH-YOUR-OWN,TRUE,Nick,Russ,Contractor,Contractors,CA,50 Lester St,NB,Canada,Moncton Office,Moncton,E1C 4P2,+1 506-555-0100,+1 506-555-0101
